,sub,block,trial,target_character,target_type,response_type,response_character,acc_type,acc_character,condition
0,23,1,1,4,2,2,,1,,pre-surprise
1,23,1,2,1,2,2,,1,,pre-surprise
2,23,1,3,4,1,1,,1,,pre-surprise
3,23,1,4,3,1,1,,1,,pre-surprise
4,23,1,5,1,1,1,,1,,pre-surprise
5,23,1,6,4,1,1,,1,,pre-surprise
6,23,1,7,2,2,2,,1,,pre-surprise
7,23,1,8,3,1,1,,1,,pre-surprise
8,23,1,9,3,2,2,,1,,pre-surprise
9,23,1,10,2,1,1,,1,,pre-surprise
10,23,1,11,2,1,1,,1,,pre-surprise
11,23,1,12,2,2,2,,1,,pre-surprise
12,23,1,13,3,2,2,,1,,pre-surprise
13,23,1,14,4,2,2,,1,,pre-surprise
14,23,1,15,4,2,2,,1,,pre-surprise
15,23,1,16,3,1,1,,1,,pre-surprise
16,23,1,17,1,2,2,,1,,pre-surprise
17,23,1,18,4,1,1,,1,,pre-surprise
18,23,1,19,4,1,1,,1,,pre-surprise
19,23,1,20,2,2,2,,1,,pre-surprise
20,23,1,21,1,1,1,,1,,pre-surprise
21,23,1,22,1,2,2,,1,,pre-surprise
22,23,1,23,3,2,2,,1,,pre-surprise
23,23,1,24,1,1,1,,1,,pre-surprise
24,23,1,25,4,2,2,,1,,pre-surprise
25,23,1,26,2,2,2,,1,,pre-surprise
26,23,1,27,2,1,1,,1,,pre-surprise
27,23,1,28,2,1,1,2.0,1,1.0,surprise
28,23,1,29,3,1,1,3.0,1,1.0,control
29,23,1,30,1,2,2,1.0,1,1.0,control
30,23,1,31,3,2,2,3.0,1,1.0,control
31,23,1,32,1,1,1,1.0,1,1.0,control
32,28,1,1,2,1,1,,1,,pre-surprise
33,28,1,2,1,2,2,,1,,pre-surprise
34,28,1,3,3,2,2,,1,,pre-surprise
35,28,1,4,1,2,2,,1,,pre-surprise
36,28,1,5,3,2,2,,1,,pre-surprise
37,28,1,6,1,1,1,,1,,pre-surprise
38,28,1,7,2,2,1,,0,,pre-surprise
39,28,1,8,3,1,1,,1,,pre-surprise
40,28,1,9,3,1,1,,1,,pre-surprise
41,28,1,10,2,2,2,,1,,pre-surprise
42,28,1,11,4,2,2,,1,,pre-surprise
43,28,1,12,3,2,2,,1,,pre-surprise
44,28,1,13,4,1,1,,1,,pre-surprise
45,28,1,14,1,1,1,,1,,pre-surprise
46,28,1,15,4,2,2,,1,,pre-surprise
47,28,1,16,4,1,1,,1,,pre-surprise
48,28,1,17,4,2,2,,1,,pre-surprise
49,28,1,18,2,1,1,,1,,pre-surprise
50,28,1,19,2,2,2,,1,,pre-surprise
51,28,1,20,3,2,2,,1,,pre-surprise
52,28,1,21,1,1,1,,1,,pre-surprise
53,28,1,22,1,2,2,,1,,pre-surprise
54,28,1,23,1,2,2,,1,,pre-surprise
55,28,1,24,3,1,1,,1,,pre-surprise
56,28,1,25,4,2,2,,1,,pre-surprise
57,28,1,26,1,1,1,,1,,pre-surprise
58,28,1,27,2,2,2,,1,,pre-surprise
59,28,1,28,2,1,1,1.0,1,0.0,surprise
60,28,1,29,2,1,1,2.0,1,1.0,control
61,28,1,30,4,1,1,4.0,1,1.0,control
62,28,1,31,3,1,1,3.0,1,1.0,control
63,28,1,32,4,1,1,4.0,1,1.0,control
64,29,1,1,4,2,2,,1,,pre-surprise
65,29,1,2,1,2,2,,1,,pre-surprise
66,29,1,3,1,1,1,,1,,pre-surprise
67,29,1,4,4,1,1,,1,,pre-surprise
68,29,1,5,3,2,2,,1,,pre-surprise
69,29,1,6,2,1,1,,1,,pre-surprise
70,29,1,7,3,1,1,,1,,pre-surprise
71,29,1,8,2,1,1,,1,,pre-surprise
72,29,1,9,2,2,2,,1,,pre-surprise
73,29,1,10,1,2,2,,1,,pre-surprise
74,29,1,11,1,2,2,,1,,pre-surprise
75,29,1,12,3,1,1,,1,,pre-surprise
76,29,1,13,1,2,2,,1,,pre-surprise
77,29,1,14,2,1,1,,1,,pre-surprise
78,29,1,15,4,2,2,,1,,pre-surprise
79,29,1,16,2,2,2,,1,,pre-surprise
80,29,1,17,2,1,1,,1,,pre-surprise
81,29,1,18,4,2,2,,1,,pre-surprise
82,29,1,19,4,1,1,,1,,pre-surprise
83,29,1,20,4,1,1,,1,,pre-surprise
84,29,1,21,4,1,1,,1,,pre-surprise
85,29,1,22,2,2,2,,1,,pre-surprise
86,29,1,23,1,1,1,,1,,pre-surprise
87,29,1,24,1,1,1,,1,,pre-surprise
